uid,observed_on,place_guess,description,tags,timestamp,lat,lon,photo_url,name,image_path
197758991,2024-01-28 10:40:51+07:00,"Sudden Valley, United States",,,2024-01-28,48.644469315830435,-122.33801986282977,https://inaturalist-open-data.s3.amazonaws.com/photos/348387084/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197758991-2024-01-28.jpg
197747958,2024-01-16 10:07:26+10:00,"Darrington, United States",,,2024-01-16,48.54620537714523,-121.74872599525975,https://inaturalist-open-data.s3.amazonaws.com/photos/348364516/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197747958-2024-01-16.jpg
197722578,2013/05/25,"Clear Lake, United States",,,2013-05-25,48.47143519185964,-122.07633987436894,https://inaturalist-open-data.s3.amazonaws.com/photos/348313407/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197722578-2013-05-25.jpg
197714282,2024/01/27 11:19 AM,"Olympia, United States",,,2024-01-27,47.179111142254406,-122.93262042640153,https://inaturalist-open-data.s3.amazonaws.com/photos/348296299/original.jpeg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197714282-2024-01-27.jpg
197704942,2024/01/05 12:34,"Darrington, United States",,,2024-01-05,48.48270992859047,-121.10797222615244,https://inaturalist-open-data.s3.amazonaws.com/photos/348278719/original.jpeg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197704942-2024-01-05.jpg
197700778,2024-01-27 17:13:41,"Longbranch, United States",,,2024-01-27,47.15141556946267,-122.8042060615756,https://inaturalist-open-data.s3.amazonaws.com/photos/348270830/original.jpeg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197700778-2024-01-27.jpg
197650958,2013-05-11 11:35:49,"Freeland, United States",,,2013-05-11,48.0321330490607,-122.61754886667077,https://static.inaturalist.org/photos/348171019/original.jpeg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197650958-2013-05-11.jpg
197644504,2013/05/23,"Darrington, United States",,,2013-05-23,48.21908332066391,-121.12173398064809,https://inaturalist-open-data.s3.amazonaws.com/photos/348158655/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197644504-2013-05-23.jpg
197643021,2024-01-27 09:42:11,"Oak Harbor, United States",,,2024-01-27,48.35048122787057,-122.58778625658368,https://inaturalist-open-data.s3.amazonaws.com/photos/348155947/original.jpeg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197643021-2024-01-27.jpg
197614126,2024/01/26 3:54 PM,"Browns Point, United States",,,2024-01-26,47.32636436813194,-122.4378852020105,https://inaturalist-open-data.s3.amazonaws.com/photos/348100631/original.jpeg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197614126-2024-01-26.jpg
